glottocode	latitude	longitude	humidity_overall_mean	humidity_overall_median	humidity_overall_sd	humidity_overall_IQR	humidity_mean_annual_mean	humidity_mean_annual_median	humidity_mean_annual_sd	humidity_mean_annual_IQR
boga1251	10.188	12.936	0.0117937285483745	0.0136299999430776	0.00572276750029238	0.0108050007838756	0.0117876094323906	0.0127950964928863	0.00577063489880527	0.00992139513821005
arap1274	43.3879	-108.81	0.00423481246936276	0.00387499993667006	0.00154043127147152	0.00250750000122935	0.00423273374510963	0.00386873818610588	0.00157421914865001	0.00237336493996231
waur1244	-13.296	-53.6971	0.0151734553768119	0.0173650002107024	0.00394565702771254	0.00648750038817525	0.0151856303043582	0.0173645659880195	0.00395940567600723	0.00598402406063138
jama1261	-7.62223	-66.5662	0.0171459621461087	0.017485000193119	0.00158268961237121	0.00211500097066164	0.0171543845481481	0.0176984722234516	0.00143449109125527	0.00174062157101515
atak1252	30.9121	-93.0827	0.0120925705175465	0.0110200000926852	0.00424166938936624	0.00792500004172325	0.0120869197002681	0.0112589882272813	0.00435682941609275	0.00747991072098052
ahte1237	61.7068	-144.889	0.00336453181645064	0.00279000005684793	0.00175325420246688	0.00279749999754131	0.00336061506433562	0.00283252014115634	0.0017729830891011	0.00271478020497145
nort2770	9.9249	13.6567	0.0117937285483745	0.0136299999430776	0.00572276750029238	0.0108050007838756	0.0117876094323906	0.0127950964928863	0.00577063489880527	0.00992139513821005
rapa1245	-27.6304	-144.338	0.0132783882359004	0.0129849999211729	0.00208156399854164	0.00361750042065978	0.0132882046249127	0.0130071764061641	0.002090628774939	0.00342434583904429
taro1264	23.9032	121.358	0.0161988217978454	0.0163150001317263	0.00310185534477046	0.006029998883605	0.016194334277817	0.0162575965579082	0.0032056167743063	0.00573957292363048
mali1284	-4.71826	152.214	0.0187526386022776	0.0187899991869926	0.000650451652926401	0.000817499589174986	0.0187449066846745	0.0187637417628947	0.000432496452171914	0.000573347102747195
muin1242	-0.8652	-72.4249	0.0183659542150066	0.0184400007128716	0.00087448824868684	0.00122999958693981	0.0183727302953307	0.0185406250594598	0.000683888570325308	0.00087984578890933
pawn1254	36.2862	-96.8937	0.00819924790566865	0.00746500003151596	0.00411128517399535	0.00739499973133206	0.00819254602752081	0.00749934656131599	0.0042171445248775	0.00699767605450082
chib1270	6.24999	-74.1666	0.0156508693623515	0.0155949997715652	0.000498435229644306	0.000659999437630177	0.0156539770503915	0.0156161763976949	0.000403834515021512	0.000501909396714634
quil1240	47.9106	-124.603	0.00618104696749234	0.00609499984420836	0.00154964419655153	0.00282000005245209	0.00617705896675007	0.00608700208896254	0.00157607800859102	0.00265174549551577
ines1240	34.6169	-120.08	0.0070045150307361	0.00695499987341464	0.0010860179260233	0.00168749992735684	0.00700478385098406	0.00693208332328747	0.00106539016784159	0.00155097949835989
moha1256	34.8866	-114.599	0.00494714347197347	0.00468999985605478	0.00137762744385558	0.00185249978676438	0.00494518534483359	0.00466951388807502	0.00135280795959679	0.0016981843889678
bank1259	15.06	-2.92	0.00935824650897708	0.00765500008128583	0.00591388492047481	0.0114675003569573	0.00934413245382165	0.00779481527731857	0.00603153056478609	0.0103348250340787
elam1244	31.1833	48.2333	0.00700781433322057	0.00682999985292554	0.000947731239456691	0.00114999990910292	0.00701179701391626	0.00689115971585529	0.000835792279940943	0.00100239062804677
nort2943	69.582	-143.77	0.00229311783046936	0.00145500001963228	0.00198217293635266	0.00344249987392686	0.00228840597308473	0.00147683818957173	0.00204780413499945	0.00307125313358685
mixe1288	11.67	92.74	0.0186229789149806	0.0189649993553758	0.00157644880986014	0.0024974993430078	0.0186191766619614	0.0189394214733814	0.00158403995673854	0.00225512772319942
guah1255	5.81736	-68.9839	0.0178301737823964	0.0185000002384186	0.0018213940315448	0.00209000008180737	0.0178302056457216	0.0186331535094521	0.00175874735373726	0.00195949165693795
pana1310	26.263819	110.096687	0.0131275877530202	0.0134699996560812	0.00510849299749915	0.00993500067852437	0.0131231076012193	0.0132982493248872	0.0053083134368731	0.00894722149759117
chua1248	26.55	105.1	0.011351425074245	0.0110749998129904	0.00416801660255027	0.00838499958626926	0.0113468008808164	0.0111873951197291	0.00433616496876529	0.00767760699252701
muru1274	-1.13669	-73.8331	0.0183659542150066	0.0184400007128716	0.00087448824868684	0.00122999958693981	0.0183727302953307	0.0185406250594598	0.000683888570325308	0.00087984578890933
sout2774	4.44235	6.32192	0.0187603658290975	0.0187699999660254	0.00090407712775235	0.00133499968796968	0.0187664048052104	0.018775862434672	0.000822664480943849	0.00126066836269779
anci1242	39.8155	21.9129	0.00795025815905044	0.00791999977082014	0.00181825964084016	0.00311999954283237	0.00794724124417717	0.00798493054591947	0.00183216724700753	0.00299303714645147
chur1257	43.7171	22.8442	0.0066460945186507	0.00627500005066395	0.00274933077359074	0.00465499993879348	0.00664136770163075	0.00626362709832999	0.00281689985407553	0.00442120169059813
prus1238	52.394	14.757	0.00640729264467998	0.00604999996721745	0.00251577701111445	0.00436500005889684	0.00640420057489175	0.00611194443384496	0.00258292081900587	0.00412859200150706
tokh1243	41.65	82.9	0.00446936864581443	0.00427499995566905	0.00197093004158709	0.00329249998321757	0.00446716343419363	0.00432464166078717	0.00198914523756711	0.00315325556099803
oldh1241	52	10	0.00641372436055119	0.00609000003896654	0.00227326815620259	0.00383750000037253	0.00641063843216357	0.00613673613083342	0.00233850160515671	0.00365493022642719
midd1343	48.254	10.599	0.00661105255632703	0.00608000019565225	0.00295845584518137	0.00544999982230365	0.00660482681253135	0.00611722220653772	0.00305851114167248	0.00503210521694402
olde1238	51.06	-1.31	0.00711818170133492	0.00679499981924891	0.00155108188544727	0.00265999976545572	0.00711488594670855	0.00680715277687543	0.00158538721275442	0.00253255000279751
homs1234	40.1897	44.4839	0.00651631316947284	0.00628499989397824	0.00308209019303264	0.00584999984130263	0.00650884598793882	0.00630639929376129	0.003184038562647	0.00550508990838555
lati1261	41.9026	12.4502	0.00925247309162848	0.00889499997720122	0.00259939799587302	0.00456249993294477	0.0092470145991797	0.00901076391326367	0.00265003224965801	0.00441334373479347
iris1253	53.2186	-7.61509	0.0071919290161646	0.00686000008136034	0.00138866748390484	0.00241749989800155	0.00718871591444611	0.00687743056268017	0.00142016074934987	0.0022712264019194
oldi1245	53	-8	0.0071919290161646	0.00686000008136034	0.00138866748390484	0.00241749989800155	0.00718871591444611	0.00687743056268017	0.00142016074934987	0.0022712264019194
logu1236	40.49	9.09957	0.0107200884630378	0.0100700003094971	0.0030656017263204	0.00537499994970858	0.0107135671352143	0.0100643263495941	0.00314645766600562	0.00508280526264571
oldn1244	63.42	10.38	0.00480028892563882	0.00413000001572073	0.00197156426688172	0.00314587517641485	0.00479923863874064	0.00417264376301318	0.00201152298747737	0.00292613192868885
hitt1242	40	35	0.00760829686143789	0.00723500014282763	0.00285667945751595	0.00505000026896596	0.00760049483592103	0.00736523821574843	0.0029364328564823	0.0047208791285003
midd1317	51.65	-1.11	0.00673093693737931	0.00638000015169382	0.00146540421463327	0.00253750011324883	0.00672831980088232	0.00643819444424783	0.00149463537457579	0.00239570901936127
onei1249	43.438742	-75.708106	0.00681972482590665	0.00601999997161329	0.00371284354105763	0.00691750011174008	0.00681059494209968	0.0060830520815216	0.00384456729697562	0.00634115969619921
katc1249	10.8423	29.4914	0.0135907728530549	0.0158000001683831	0.00521133305595967	0.00933249993249774	0.0135791092374686	0.0152265500251411	0.00505330835255849	0.00806432924905999
tima1241	11.7176	29.1632	0.0113319075781155	0.0124800000339746	0.00542468982384606	0.0105250008637086	0.0113181426772102	0.0121697416438514	0.0052852979201154	0.00915858225845214
klam1254	42.5861	-121.704	0.00523821294545424	0.00509500014595687	0.00116064580895404	0.00191499979700893	0.00523662001646276	0.00501667016780832	0.00117424453841392	0.00170965276144367
esee1247	-9.09451	148.376	0.0177092539843406	0.0179850002750754	0.00139513596156233	0.00190750090405345	0.0177154248411537	0.0179105597781017	0.00128124386273564	0.00191803293354395
kwaz1243	-11.6667	-61.1833	0.0155373639823317	0.016720000654459	0.00289095724699173	0.00413999985903502	0.0155494886204662	0.0168783215210877	0.00284400141994733	0.00396480961353518
juho1239	-19.688	20.7673	0.00862342506345353	0.00710500008426607	0.00390982531981846	0.00704250019043684	0.00864522036295833	0.00742446529329754	0.00394226924389984	0.00661506488945128
anga1316	-22.85	-58.45	0.0137573635131815	0.013839999679476	0.00343845709676156	0.00631999969482422	0.0137668205561913	0.0139282631894781	0.00348243522379546	0.00576545516701622
maib1239	-1.3679	132.591	0.0192771453165074	0.0193399991840124	0.000784164119281879	0.000840000808238983	0.0192849466767082	0.0193899854526131	0.000529774347383886	0.000646413633755098
mail1248	-10.3657	149.521	0.018458708019011	0.0186199992895126	0.00102399354708994	0.00138499960303307	0.0184643422901442	0.018612699298602	0.00091209922008804	0.00124855272911696
mand1436	12.8165233333	-15.6539466667	0.0129334982549707	0.0122000002302229	0.00531255957111374	0.010855000698939	0.012929882992162	0.0125860319434044	0.00548237152263078	0.0106467590214581
misk1235	15.1576	-84.2942	0.0171365854525743	0.0175000000745058	0.00119654587496281	0.00183749897405505	0.017135795521928	0.0175007507205009	0.00118214256730929	0.00184116131923575
nort2968	38.4179	-120.588	0.00497009359503117	0.00491000013425946	0.0010975114527544	0.00170722499024123	0.00496881423566036	0.0048979861377221	0.00109761889528651	0.00154144550550781
copa1236	17.2157	-93.3183	0.0158413625810738	0.0158250005915761	0.00248613132245447	0.00458750035613775	0.0158404583083435	0.0158399152763498	0.00252913647349637	0.00449179825955071
alab1237	30.76738	-94.62848	0.0120925705175465	0.0110200000926852	0.00424166938936624	0.00792500004172325	0.0120869197002681	0.0112589882272813	0.00435682941609275	0.00747991072098052
chec1245	43.5	45.5	0.00696098776143435	0.00664499984122813	0.00317787576888248	0.00599750014953315	0.00695179785147417	0.00667093817416268	0.00328140736062991	0.00562726078512949
natc1249	31.75	-91.33	0.012313690797441	0.0110700000077486	0.00449638869435109	0.00831999978981912	0.0123071119859336	0.0112736826477986	0.0046287034863052	0.00789136915086096
masa1300	-3.1419	36.4573	0.0113232926734764	0.0114049999974668	0.00213479330522144	0.00402499968186021	0.0113348076577365	0.0114436458356472	0.00211902826087806	0.0036783166255595
sahu1245	1.00742	127.493	0.0188907112878485	0.0188900008797646	0.000530094404733753	0.000679999589920044	0.0188967069800947	0.018916521467165	0.000337178541646367	0.000417968394079556
roto1249	-5.94339	155.154	0.0191117574858082	0.0190749997273088	0.000544266466062802	0.000749999657273293	0.0191127549322813	0.0191153277280844	0.00037404109518325	0.000480477103135652
ghul1238	11.6432	29.8122	0.0113319075781155	0.0124800000339746	0.00542468982384606	0.0105250008637086	0.0113181426772102	0.0121697416438514	0.0052852979201154	0.00915858225845214
toar1246	-8.07231	146.206	0.0172963299569272	0.0175400003790855	0.001058668466726	0.00146749941632152	0.0173031419092057	0.0176038514020749	0.000966426119858271	0.00138668745704409
guhu1244	-7.99922	147.228	0.0177092539843406	0.0179850002750754	0.00139513596156233	0.00190750090405345	0.0177154248411537	0.0179105597781017	0.00128124386273564	0.00191803293354395
ende1235	-8.957786	142.240799	0.0185958917517571	0.0188100002706051	0.00158785826796413	0.00242499960586429	0.0186073907890025	0.0188427160416419	0.00144845375078573	0.00220483081648126
achu1247	41.0979	-121.191	0.0055995238877047	0.00553999980911613	0.00107538366413683	0.00173000013455749	0.00560000819476018	0.00546785346361705	0.00107583826827201	0.00156265451207421
ngar1287	-20.9235	117.203	0.0152966259763791	0.0151100000366569	0.00335954523347397	0.00618749926798046	0.0153105924109485	0.0151558340747013	0.00346726501483521	0.0057955826826704
nezp1238	46.3073	-116.408	0.00538022366584667	0.00506499991752207	0.00185302020374302	0.0030900000128895	0.00537813938097437	0.00506671876387878	0.00190397588787074	0.00290417464970637
halk1245	49.250402	-122.443668	0.00578883765259918	0.00578999985009432	0.00170004009739918	0.0031600003130734	0.00578593296645441	0.00574244097353787	0.00173942834092188	0.00294744063042648
kats1235	24.6	102.4	0.0120864493158019	0.0117799998261034	0.00383938994050798	0.00763749936595559	0.0120821592494357	0.0120062375337713	0.00398519889013772	0.00725498266304688
phol1237	23.4674	102.228	0.0120864493158019	0.0117799998261034	0.00383938994050798	0.00763749936595559	0.0120821592494357	0.0120062375337713	0.00398519889013772	0.00725498266304688
farn1234	25.646902	99.684187	0.00998454721235303	0.00988999987021089	0.00404350432924837	0.00837249972391874	0.00997657446672937	0.00986592152427571	0.00420321232156346	0.00798575418108764
honi1244	23.2074	101.886	0.0114883322758266	0.0113999997265637	0.00402274430709616	0.00802250020205975	0.0114807273649608	0.0115909027517773	0.00417365235593341	0.00774075489769328
xish1235	24.8709	100.711	0.00946130617689949	0.00922999996691942	0.00399269816432369	0.00819500000216067	0.00945317826860104	0.00929590279055345	0.00415131090836294	0.00784637081475618
azha1235	23.9	104.15	0.0128276707617553	0.012879999820143	0.00392000863821526	0.00762250041589141	0.0128252517223516	0.0128584132180549	0.00406714901284573	0.00696235558360867
phuz1235	23.05	103.4	0.0120864493158019	0.0117799998261034	0.00383938994050798	0.00763749936595559	0.0120821592494357	0.0120062375337713	0.00398519889013772	0.00725498266304688
luqu1238	25.48	102.48	0.0104411425422291	0.0101950000971556	0.00409482302745067	0.00834749941714108	0.0104344977027837	0.0102483541672377	0.00426106057736298	0.00790682917189164
kuan1249	26.45	103.33	0.0104411425422291	0.0101950000971556	0.00409482302745067	0.00834749941714108	0.0104344977027837	0.0102483541672377	0.00426106057736298	0.00790682917189164
xinp1238	24.408	102.456	0.0120864493158019	0.0117799998261034	0.00383938994050798	0.00763749936595559	0.0120821592494357	0.0120062375337713	0.00398519889013772	0.00725498266304688
hlep1236	23.591	103.733	0.0120864493158019	0.0117799998261034	0.00383938994050798	0.00763749936595559	0.0120821592494357	0.0120062375337713	0.00398519889013772	0.00725498266304688
nort3298	26.91	98.94	0.00796949545801823	0.00745499995537102	0.00342768301821255	0.00690749962814152	0.00796312961383062	0.00761268821790711	0.00355924148942253	0.00648184307162107
lawu1238	24.133878	101.498795	0.0114883322758266	0.0113999997265637	0.00402274430709616	0.00802250020205975	0.0114807273649608	0.0115909027517773	0.00417365235593341	0.00774075489769328
sout2722	22.87312	103.306087	0.0120864493158019	0.0117799998261034	0.00383938994050798	0.00763749936595559	0.0120821592494357	0.0120062375337713	0.00398519889013772	0.00725498266304688
limi1243	24.469	100.073	0.011621855365412	0.0117950001731515	0.00430332356092705	0.00866749999113381	0.0116116282852637	0.0119549326482229	0.0044654032726133	0.00831587294750433
kath1251	24.2	105.1	0.0128276707617553	0.012879999820143	0.00392000863821526	0.00762250041589141	0.0128252517223516	0.0128584132180549	0.00406714901284573	0.00696235558360867
